parents_great_pret,parents_pretentious,parents_usual,has_nurs_critical,has_nurs_improper,has_nurs_less_proper,has_nurs_proper,has_nurs_very_crit,form_complete,form_completed,form_foster,form_incomplete,children_1,children_2,children_3,children_more,housing_convenient,housing_critical,housing_less_conv,finance_convenient,finance_inconv,social_nonprob,social_problematic,social_slightly_prob,health_not_recom,health_priority,health_recommended,Result
"(-0.01, 0.042]","(0.87, 1.0]","(-0.01, 0.18]","(-0.01, 0.24]","(-0.01, 0.0043]","(0.81, 1.0]","(-0.01, 0.0056]","(-0.01, 0.1]","(-0.01, 0.21]","(0.999, 1.0]","(-0.01, 0.22]","(-0.01, 0.15]","(0.92, 1.0]","(-0.01, 0.035]","(-0.01, 0.087]","(-0.01, 0.13]","(-0.01, 0.11]","(-0.01, 0.044]","(0.89, 1.0]","(-0.01, 0.13]","(0.92, 1.0]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(0.76, 1.0]","(-0.01, 0.25]","(-0.01, 0.21]",Negative
"(-0.01, 0.042]","(0.87, 1.0]","(-0.01, 0.18]","(-0.01, 0.24]","(-0.01, 0.0043]","(0.81, 1.0]","(-0.01, 0.0056]","(-0.01, 0.1]","(-0.01, 0.21]","(0.999, 1.0]","(-0.01, 0.22]","(-0.01, 0.15]","(0.92, 1.0]","(-0.01, 0.035]","(-0.01, 0.087]","(-0.01, 0.13]","(-0.01, 0.11]","(-0.01, 0.044]","(0.89, 1.0]","(-0.01, 0.13]","(0.92, 1.0]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(0.76, 1.0]","(-0.01, 0.25]","(-0.01, 0.21]",Negative
"(-0.01, 0.042]","(0.8, 0.87]","(-0.01, 0.18]","(-0.01, 0.24]","(-0.01, 0.0043]","(0.81, 1.0]","(-0.01, 0.0056]","(-0.01, 0.1]","(-0.01, 0.21]","(0.999, 1.0]","(-0.01, 0.22]","(-0.01, 0.15]","(0.92, 1.0]","(-0.01, 0.035]","(-0.01, 0.087]","(-0.01, 0.13]","(-0.01, 0.11]","(-0.01, 0.044]","(0.89, 1.0]","(-0.01, 0.13]","(0.92, 1.0]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(0.76, 1.0]","(-0.01, 0.25]","(-0.01, 0.21]",Negative
"(-0.01, 0.042]","(0.8, 0.87]","(-0.01, 0.18]","(-0.01, 0.24]","(-0.01, 0.0043]","(0.81, 1.0]","(-0.01, 0.0056]","(-0.01, 0.1]","(-0.01, 0.21]","(0.999, 1.0]","(-0.01, 0.22]","(-0.01, 0.15]","(0.92, 1.0]","(-0.01, 0.035]","(-0.01, 0.087]","(-0.01, 0.13]","(-0.01, 0.11]","(-0.01, 0.044]","(0.89, 1.0]","(-0.01, 0.13]","(0.92, 1.0]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(0.76, 1.0]","(-0.01, 0.25]","(-0.01, 0.21]",Negative
"(-0.01, 0.042]","(0.8, 0.87]","(-0.01, 0.18]","(-0.01, 0.24]","(-0.01, 0.0043]","(0.81, 1.0]","(-0.01, 0.0056]","(-0.01, 0.1]","(-0.01, 0.21]","(0.999, 1.0]","(-0.01, 0.22]","(-0.01, 0.15]","(0.92, 1.0]","(-0.01, 0.035]","(-0.01, 0.087]","(-0.01, 0.13]","(-0.01, 0.11]","(-0.01, 0.044]","(0.89, 1.0]","(-0.01, 0.13]","(0.92, 1.0]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(0.76, 1.0]","(-0.01, 0.25]","(-0.01, 0.21]",Negative
"(-0.01, 0.042]","(0.87, 1.0]","(-0.01, 0.18]","(-0.01, 0.24]","(-0.01, 0.0043]","(0.81, 1.0]","(-0.01, 0.0056]","(-0.01, 0.1]","(-0.01, 0.21]","(0.999, 1.0]","(-0.01, 0.22]","(-0.01, 0.15]","(0.92, 1.0]","(-0.01, 0.035]","(-0.01, 0.087]","(-0.01, 0.13]","(-0.01, 0.11]","(-0.01, 0.044]","(0.89, 1.0]","(-0.01, 0.13]","(0.92, 1.0]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(0.76, 1.0]","(-0.01, 0.25]","(-0.01, 0.21]",Negative
"(-0.01, 0.042]","(0.87, 1.0]","(-0.01, 0.18]","(-0.01, 0.24]","(-0.01, 0.0043]","(0.81, 1.0]","(-0.01, 0.0056]","(-0.01, 0.1]","(-0.01, 0.21]","(0.999, 1.0]","(-0.01, 0.22]","(-0.01, 0.15]","(0.92, 1.0]","(-0.01, 0.035]","(-0.01, 0.087]","(-0.01, 0.13]","(-0.01, 0.11]","(-0.01, 0.044]","(0.89, 1.0]","(-0.01, 0.13]","(0.92, 1.0]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(0.76, 1.0]","(-0.01, 0.25]","(-0.01, 0.21]",Negative
"(-0.01, 0.042]","(0.87, 1.0]","(-0.01, 0.18]","(-0.01, 0.24]","(-0.01, 0.0043]","(0.81, 1.0]","(-0.01, 0.0056]","(-0.01, 0.1]","(-0.01, 0.21]","(0.999, 1.0]","(-0.01, 0.22]","(-0.01, 0.15]","(0.92, 1.0]","(-0.01, 0.035]","(-0.01, 0.087]","(-0.01, 0.13]","(-0.01, 0.11]","(-0.01, 0.044]","(0.89, 1.0]","(-0.01, 0.13]","(0.92, 1.0]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(0.76, 1.0]","(-0.01, 0.25]","(-0.01, 0.21]",Negative
"(-0.01, 0.042]","(0.8, 0.87]","(-0.01, 0.18]","(-0.01, 0.24]","(-0.01, 0.0043]","(0.81, 1.0]","(-0.01, 0.0056]","(-0.01, 0.1]","(-0.01, 0.21]","(0.999, 1.0]","(-0.01, 0.22]","(-0.01, 0.15]","(0.92, 1.0]","(-0.01, 0.035]","(-0.01, 0.087]","(-0.01, 0.13]","(-0.01, 0.11]","(-0.01, 0.044]","(0.89, 1.0]","(-0.01, 0.13]","(0.92, 1.0]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(0.76, 1.0]","(-0.01, 0.25]","(-0.01, 0.21]",Negative
"(-0.01, 0.042]","(0.8, 0.87]","(-0.01, 0.18]","(-0.01, 0.24]","(-0.01, 0.0043]","(0.81, 1.0]","(-0.01, 0.0056]","(-0.01, 0.1]","(-0.01, 0.21]","(0.999, 1.0]","(-0.01, 0.22]","(-0.01, 0.15]","(0.92, 1.0]","(-0.01, 0.035]","(-0.01, 0.087]","(-0.01, 0.13]","(-0.01, 0.11]","(-0.01, 0.044]","(0.89, 1.0]","(-0.01, 0.13]","(0.92, 1.0]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(0.76, 1.0]","(-0.01, 0.25]","(-0.01, 0.21]",Negative
"(-0.01, 0.042]","(0.87, 1.0]","(-0.01, 0.18]","(-0.01, 0.24]","(-0.01, 0.0043]","(0.81, 1.0]","(-0.01, 0.0056]","(-0.01, 0.1]","(-0.01, 0.21]","(0.999, 1.0]","(-0.01, 0.22]","(-0.01, 0.15]","(0.92, 1.0]","(-0.01, 0.035]","(-0.01, 0.087]","(-0.01, 0.13]","(-0.01, 0.11]","(-0.01, 0.044]","(0.89, 1.0]","(-0.01, 0.13]","(0.92, 1.0]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(0.76, 1.0]","(-0.01, 0.25]","(-0.01, 0.21]",Negative
"(-0.01, 0.042]","(0.87, 1.0]","(-0.01, 0.18]","(-0.01, 0.24]","(-0.01, 0.0043]","(0.81, 1.0]","(-0.01, 0.0056]","(-0.01, 0.1]","(-0.01, 0.21]","(0.999, 1.0]","(-0.01, 0.22]","(-0.01, 0.15]","(0.92, 1.0]","(-0.01, 0.035]","(-0.01, 0.087]","(-0.01, 0.13]","(-0.01, 0.11]","(-0.01, 0.044]","(0.89, 1.0]","(-0.01, 0.13]","(0.92, 1.0]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(0.76, 1.0]","(-0.01, 0.25]","(-0.01, 0.21]",Negative
"(-0.01, 0.042]","(0.8, 0.87]","(-0.01, 0.18]","(-0.01, 0.24]","(-0.01, 0.0043]","(0.81, 1.0]","(-0.01, 0.0056]","(-0.01, 0.1]","(-0.01, 0.21]","(0.999, 1.0]","(-0.01, 0.22]","(-0.01, 0.15]","(0.92, 1.0]","(-0.01, 0.035]","(-0.01, 0.087]","(-0.01, 0.13]","(-0.01, 0.11]","(-0.01, 0.044]","(0.89, 1.0]","(-0.01, 0.13]","(0.92, 1.0]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(0.76, 1.0]","(-0.01, 0.25]","(-0.01, 0.21]",Negative
"(-0.01, 0.042]","(0.8, 0.87]","(-0.01, 0.18]","(-0.01, 0.24]","(-0.01, 0.0043]","(0.81, 1.0]","(-0.01, 0.0056]","(-0.01, 0.1]","(-0.01, 0.21]","(0.999, 1.0]","(-0.01, 0.22]","(-0.01, 0.15]","(0.92, 1.0]","(-0.01, 0.035]","(-0.01, 0.087]","(-0.01, 0.13]","(-0.01, 0.11]","(-0.01, 0.044]","(0.89, 1.0]","(-0.01, 0.13]","(0.92, 1.0]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(0.76, 1.0]","(-0.01, 0.25]","(-0.01, 0.21]",Negative
"(-0.01, 0.042]","(0.8, 0.87]","(0.18, 0.25]","(-0.01, 0.24]","(-0.01, 0.0043]","(0.81, 1.0]","(-0.01, 0.0056]","(-0.01, 0.1]","(-0.01, 0.21]","(0.999, 1.0]","(-0.01, 0.22]","(-0.01, 0.15]","(0.92, 1.0]","(-0.01, 0.035]","(-0.01, 0.087]","(-0.01, 0.13]","(-0.01, 0.11]","(-0.01, 0.044]","(0.89, 1.0]","(-0.01, 0.13]","(0.92, 1.0]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(0.76, 1.0]","(-0.01, 0.25]","(-0.01, 0.21]",Negative
"(-0.01, 0.042]","(0.8, 0.87]","(-0.01, 0.18]","(-0.01, 0.24]","(-0.01, 0.0043]","(0.81, 1.0]","(-0.01, 0.0056]","(-0.01, 0.1]","(-0.01, 0.21]","(0.999, 1.0]","(-0.01, 0.22]","(-0.01, 0.15]","(0.92, 1.0]","(-0.01, 0.035]","(-0.01, 0.087]","(-0.01, 0.13]","(-0.01, 0.11]","(-0.01, 0.044]","(0.89, 1.0]","(-0.01, 0.13]","(0.92, 1.0]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(0.76, 1.0]","(-0.01, 0.25]","(-0.01, 0.21]",Negative
"(-0.01, 0.042]","(0.8, 0.87]","(0.18, 0.25]","(-0.01, 0.24]","(-0.01, 0.0043]","(0.81, 1.0]","(-0.01, 0.0056]","(-0.01, 0.1]","(-0.01, 0.21]","(0.999, 1.0]","(-0.01, 0.22]","(-0.01, 0.15]","(0.92, 1.0]","(-0.01, 0.035]","(-0.01, 0.087]","(-0.01, 0.13]","(-0.01, 0.11]","(-0.01, 0.044]","(0.89, 1.0]","(-0.01, 0.13]","(0.92, 1.0]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(0.76, 1.0]","(-0.01, 0.25]","(-0.01, 0.21]",Negative
"(-0.01, 0.042]","(0.8, 0.87]","(-0.01, 0.18]","(-0.01, 0.24]","(-0.01, 0.0043]","(0.81, 1.0]","(-0.01, 0.0056]","(-0.01, 0.1]","(-0.01, 0.21]","(0.999, 1.0]","(-0.01, 0.22]","(-0.01, 0.15]","(0.92, 1.0]","(-0.01, 0.035]","(-0.01, 0.087]","(-0.01, 0.13]","(-0.01, 0.11]","(-0.01, 0.044]","(0.89, 1.0]","(-0.01, 0.13]","(0.92, 1.0]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(0.76, 1.0]","(-0.01, 0.25]","(-0.01, 0.21]",Negative
"(-0.01, 0.042]","(0.8, 0.87]","(-0.01, 0.18]","(-0.01, 0.24]","(-0.01, 0.0043]","(0.81, 1.0]","(-0.01, 0.0056]","(-0.01, 0.1]","(-0.01, 0.21]","(0.999, 1.0]","(-0.01, 0.22]","(-0.01, 0.15]","(0.92, 1.0]","(-0.01, 0.035]","(-0.01, 0.087]","(-0.01, 0.13]","(-0.01, 0.11]","(-0.01, 0.044]","(0.89, 1.0]","(-0.01, 0.13]","(0.92, 1.0]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(0.76, 1.0]","(-0.01, 0.25]","(-0.01, 0.21]",Negative
"(-0.01, 0.042]","(0.8, 0.87]","(-0.01, 0.18]","(-0.01, 0.24]","(-0.01, 0.0043]","(0.81, 1.0]","(-0.01, 0.0056]","(-0.01, 0.1]","(-0.01, 0.21]","(0.999, 1.0]","(-0.01, 0.22]","(-0.01, 0.15]","(0.92, 1.0]","(-0.01, 0.035]","(-0.01, 0.087]","(-0.01, 0.13]","(-0.01, 0.11]","(-0.01, 0.044]","(0.89, 1.0]","(-0.01, 0.13]","(0.92, 1.0]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(0.76, 1.0]","(-0.01, 0.25]","(-0.01, 0.21]",Negative
"(-0.01, 0.042]","(0.8, 0.87]","(0.18, 0.25]","(-0.01, 0.24]","(-0.01, 0.0043]","(0.81, 1.0]","(-0.01, 0.0056]","(-0.01, 0.1]","(-0.01, 0.21]","(0.999, 1.0]","(-0.01, 0.22]","(-0.01, 0.15]","(0.92, 1.0]","(-0.01, 0.035]","(-0.01, 0.087]","(-0.01, 0.13]","(-0.01, 0.11]","(-0.01, 0.044]","(0.89, 1.0]","(-0.01, 0.13]","(0.92, 1.0]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(0.76, 1.0]","(-0.01, 0.25]","(-0.01, 0.21]",Negative
"(-0.01, 0.042]","(0.8, 0.87]","(-0.01, 0.18]","(-0.01, 0.24]","(-0.01, 0.0043]","(0.81, 1.0]","(-0.01, 0.0056]","(-0.01, 0.1]","(-0.01, 0.21]","(0.999, 1.0]","(-0.01, 0.22]","(-0.01, 0.15]","(0.92, 1.0]","(-0.01, 0.035]","(-0.01, 0.087]","(-0.01, 0.13]","(-0.01, 0.11]","(-0.01, 0.044]","(0.89, 1.0]","(-0.01, 0.13]","(0.92, 1.0]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(0.76, 1.0]","(-0.01, 0.25]","(-0.01, 0.21]",Negative
"(-0.01, 0.042]","(0.8, 0.87]","(-0.01, 0.18]","(-0.01, 0.24]","(-0.01, 0.0043]","(0.81, 1.0]","(-0.01, 0.0056]","(-0.01, 0.1]","(-0.01, 0.21]","(0.999, 1.0]","(-0.01, 0.22]","(-0.01, 0.15]","(0.92, 1.0]","(-0.01, 0.035]","(-0.01, 0.087]","(-0.01, 0.13]","(-0.01, 0.11]","(-0.01, 0.044]","(0.89, 1.0]","(-0.01, 0.13]","(0.92, 1.0]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(0.76, 1.0]","(-0.01, 0.25]","(-0.01, 0.21]",Negative
"(-0.01, 0.042]","(0.8, 0.87]","(-0.01, 0.18]","(-0.01, 0.24]","(-0.01, 0.0043]","(0.81, 1.0]","(-0.01, 0.0056]","(-0.01, 0.1]","(-0.01, 0.21]","(0.999, 1.0]","(-0.01, 0.22]","(-0.01, 0.15]","(0.92, 1.0]","(-0.01, 0.035]","(-0.01, 0.087]","(-0.01, 0.13]","(-0.01, 0.11]","(-0.01, 0.044]","(0.89, 1.0]","(-0.01, 0.13]","(0.92, 1.0]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(0.76, 1.0]","(-0.01, 0.25]","(-0.01, 0.21]",Negative
"(-0.01, 0.042]","(0.8, 0.87]","(-0.01, 0.18]","(-0.01, 0.24]","(-0.01, 0.0043]","(0.81, 1.0]","(-0.01, 0.0056]","(-0.01, 0.1]","(-0.01, 0.21]","(0.999, 1.0]","(-0.01, 0.22]","(-0.01, 0.15]","(0.92, 1.0]","(-0.01, 0.035]","(-0.01, 0.087]","(-0.01, 0.13]","(-0.01, 0.11]","(-0.01, 0.044]","(0.89, 1.0]","(-0.01, 0.13]","(0.92, 1.0]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(0.76, 1.0]","(-0.01, 0.25]","(-0.01, 0.21]",Negative
"(-0.01, 0.042]","(0.8, 0.87]","(-0.01, 0.18]","(-0.01, 0.24]","(-0.01, 0.0043]","(0.81, 1.0]","(-0.01, 0.0056]","(-0.01, 0.1]","(-0.01, 0.21]","(0.999, 1.0]","(-0.01, 0.22]","(-0.01, 0.15]","(0.92, 1.0]","(-0.01, 0.035]","(-0.01, 0.087]","(-0.01, 0.13]","(-0.01, 0.11]","(-0.01, 0.044]","(0.89, 1.0]","(-0.01, 0.13]","(0.92, 1.0]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(0.76, 1.0]","(-0.01, 0.25]","(-0.01, 0.21]",Negative
"(-0.01, 0.042]","(0.8, 0.87]","(-0.01, 0.18]","(-0.01, 0.24]","(-0.01, 0.0043]","(0.81, 1.0]","(-0.01, 0.0056]","(-0.01, 0.1]","(-0.01, 0.21]","(0.999, 1.0]","(-0.01, 0.22]","(-0.01, 0.15]","(0.92, 1.0]","(-0.01, 0.035]","(-0.01, 0.087]","(-0.01, 0.13]","(-0.01, 0.11]","(-0.01, 0.044]","(0.89, 1.0]","(-0.01, 0.13]","(0.92, 1.0]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(0.76, 1.0]","(-0.01, 0.25]","(-0.01, 0.21]",Negative
"(-0.01, 0.042]","(0.8, 0.87]","(-0.01, 0.18]","(-0.01, 0.24]","(-0.01, 0.0043]","(0.81, 1.0]","(-0.01, 0.0056]","(-0.01, 0.1]","(-0.01, 0.21]","(0.999, 1.0]","(-0.01, 0.22]","(-0.01, 0.15]","(0.92, 1.0]","(-0.01, 0.035]","(-0.01, 0.087]","(-0.01, 0.13]","(-0.01, 0.11]","(-0.01, 0.044]","(0.89, 1.0]","(-0.01, 0.13]","(0.92, 1.0]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(0.76, 1.0]","(-0.01, 0.25]","(-0.01, 0.21]",Negative
"(-0.01, 0.042]","(0.8, 0.87]","(-0.01, 0.18]","(-0.01, 0.24]","(-0.01, 0.0043]","(0.81, 1.0]","(-0.01, 0.0056]","(-0.01, 0.1]","(-0.01, 0.21]","(0.999, 1.0]","(-0.01, 0.22]","(-0.01, 0.15]","(0.92, 1.0]","(-0.01, 0.035]","(-0.01, 0.087]","(-0.01, 0.13]","(-0.01, 0.11]","(-0.01, 0.044]","(0.89, 1.0]","(-0.01, 0.13]","(0.92, 1.0]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(0.76, 1.0]","(-0.01, 0.25]","(-0.01, 0.21]",Negative
"(-0.01, 0.042]","(0.8, 0.87]","(-0.01, 0.18]","(-0.01, 0.24]","(-0.01, 0.0043]","(0.81, 1.0]","(-0.01, 0.0056]","(-0.01, 0.1]","(-0.01, 0.21]","(0.999, 1.0]","(-0.01, 0.22]","(-0.01, 0.15]","(0.92, 1.0]","(-0.01, 0.035]","(-0.01, 0.087]","(-0.01, 0.13]","(-0.01, 0.11]","(-0.01, 0.044]","(0.89, 1.0]","(-0.01, 0.13]","(0.92, 1.0]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(0.76, 1.0]","(-0.01, 0.25]","(-0.01, 0.21]",Negative
"(-0.01, 0.042]","(0.8, 0.87]","(-0.01, 0.18]","(-0.01, 0.24]","(-0.01, 0.0043]","(0.81, 1.0]","(-0.01, 0.0056]","(-0.01, 0.1]","(-0.01, 0.21]","(0.999, 1.0]","(-0.01, 0.22]","(-0.01, 0.15]","(0.92, 1.0]","(-0.01, 0.035]","(-0.01, 0.087]","(-0.01, 0.13]","(-0.01, 0.11]","(-0.01, 0.044]","(0.89, 1.0]","(-0.01, 0.13]","(0.92, 1.0]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(0.76, 1.0]","(-0.01, 0.25]","(-0.01, 0.21]",Negative
"(-0.01, 0.042]","(0.8, 0.87]","(-0.01, 0.18]","(-0.01, 0.24]","(-0.01, 0.0043]","(0.81, 1.0]","(-0.01, 0.0056]","(-0.01, 0.1]","(-0.01, 0.21]","(0.999, 1.0]","(-0.01, 0.22]","(-0.01, 0.15]","(0.92, 1.0]","(-0.01, 0.035]","(-0.01, 0.087]","(-0.01, 0.13]","(-0.01, 0.11]","(-0.01, 0.044]","(0.89, 1.0]","(-0.01, 0.13]","(0.92, 1.0]","(-0.01, 0.23]","(0.74, 1.0]","(-0.01, 0.23]","(0.76, 1.0]","(-0.01, 0.25]","(-0.01, 0.21]",Negative
