Part_Desc_,Rework,Work_Order_Qty,Case ID,label,Activity,Resource,Report_Type,Resource.1,Qty_Completed,Qty_for_MRB,activity_duration,Complete Timestamp,timesincemidnight,month,weekday,hour,timesincelastevent,timesincecasestart,event_nr,open_cases
Cable Head,missing,150.0,Case271,deviant,Turning & Milling Q.C.,ID4493,D,Quality Check 1,0.0,0.0,492.0,2012-01-03 15:36:00,936.0,1.0,1.0,15.0,413.0,1123.0,5.0,14.0
Cable Head,missing,180.0,Case199,deviant,Lapping - Machine 1,ID0998,D,Machine 1 - Lapping,0.0,0.0,156.0,2012-01-03 15:56:00,956.0,1.0,1.0,15.0,21.0,881.0,4.0,14.0
Cable Head,missing,180.0,Case199,deviant,Lapping - Machine 1,ID4882,D,Machine 1 - Lapping,0.0,0.0,25.0,2012-01-03 16:00:00,960.0,1.0,1.0,16.0,4.0,885.0,5.0,17.0
Barrel,missing,32.0,Case250,regular,Milling - Machine 16,ID4326,S,Machine 16 - Milling,0.0,0.0,510.0,2012-01-03 16:00:00,960.0,1.0,1.0,16.0,0.0,0.0,1.0,17.0
Spur Gear,missing,3.0,Case274,regular,Round Grinding - Manual,ID4872,D,Machine 27 - Grinding,3.0,0.0,150.0,2012-01-03 16:00:00,960.0,1.0,1.0,16.0,150.0,1397.0,8.0,17.0
Spur Gear,missing,85.0,Case210,regular,Turning & Milling - Machine 6,ID4529,D,Machine 6 - Turning & Milling,1.0,0.0,360.0,2012-01-03 16:00:00,960.0,1.0,1.0,16.0,0.0,0.0,1.0,17.0
Ballnut,missing,24.0,Case233,deviant,other,ID4641,D,Machine 9 - Turning & Milling,0.0,0.0,300.0,2012-01-03 16:00:00,960.0,1.0,1.0,16.0,0.0,0.0,1.0,17.0
Cable Head,missing,180.0,Case199,deviant,Round Grinding - Machine 2,ID4445,S,Machine 2 - Round Grinding,0.0,0.0,8.0,2012-01-03 16:05:00,965.0,1.0,1.0,16.0,5.0,890.0,6.0,17.0
Electrical Contact,missing,320.0,Case238,deviant,Turning & Milling - Machine 4,ID4167,D,Machine 4 - Turning & Milling,31.0,0.0,350.0,2012-01-03 16:07:00,967.0,1.0,1.0,16.0,416.0,1987.0,8.0,17.0
Cable Head,missing,30.0,Case219,deviant,Lapping - Machine 1,ID0998,D,Machine 1 - Lapping,15.0,0.0,69.0,2012-01-03 17:04:00,1024.0,1.0,1.0,17.0,0.0,0.0,1.0,18.0
Compound Dies,missing,18.0,Case263,regular,Turning & Milling - Machine 8,ID4219,S,Machine 8 - Turning & Milling,0.0,0.0,366.0,2012-01-03 17:58:00,1078.0,1.0,1.0,17.0,1858.0,1858.0,2.0,18.0
Spur Gear,missing,225.0,Case254,regular,Flat Grinding - Machine 11,ID0998,D,Machine 11 - Grinding,50.0,0.0,79.0,2012-01-03 18:23:00,1103.0,1.0,1.0,18.0,1583.0,1808.0,3.0,18.0
Cable Head,missing,180.0,Case199,deviant,Round Grinding - Machine 2,ID4445,S,Machine 2 - Round Grinding,0.0,0.0,171.0,2012-01-03 18:58:00,1138.0,1.0,1.0,18.0,173.0,1063.0,7.0,18.0
Ballnut,missing,24.0,Case233,deviant,other,ID3846,S,Machine 9 - Turning & Milling,2.0,0.0,269.0,2012-01-03 20:24:00,1224.0,1.0,1.0,20.0,264.0,264.0,2.0,18.0
Spur Gear,missing,85.0,Case210,regular,Turning & Milling - Machine 6,ID4794,S,Machine 6 - Turning & Milling,1.0,0.0,50.0,2012-01-03 21:05:00,1265.0,1.0,1.0,21.0,305.0,305.0,2.0,18.0
Cable Head,missing,180.0,Case199,deviant,Round Grinding - Machine 2,ID4445,D,Machine 2 - Round Grinding,9.0,0.0,198.0,2012-01-03 22:17:00,1337.0,1.0,1.0,22.0,199.0,1262.0,8.0,18.0
Spur Gear,missing,20.0,Case236,regular,Round Grinding - Manual,ID4528,D,Machine 27 - Grinding,16.0,0.0,460.0,2012-01-03 23:40:00,1420.0,1.0,1.0,23.0,710.0,1570.0,5.0,18.0
Ballnut,missing,24.0,Case233,deviant,other,ID3846,D,Machine 9 - Turning & Milling,7.0,0.0,196.0,2012-01-03 23:41:00,1421.0,1.0,1.0,23.0,197.0,461.0,3.0,18.0
other,missing,100.0,Case222,regular,Packing,ID4820,D,Packing,0.0,0.0,60.0,2012-01-04 01:00:00,60.0,1.0,2.0,1.0,0.0,0.0,1.0,18.0
Cable Head,missing,180.0,Case199,deviant,Lapping - Machine 1,ID4882,D,Machine 1 - Lapping,0.0,0.0,75.0,2012-01-04 01:15:00,75.0,1.0,2.0,1.0,178.0,1440.0,9.0,17.0
Wheel Shaft,missing,20.0,Case201,deviant,Round Grinding - Q.C.,ID4493,D,Quality Check 1,13.0,0.0,75.0,2012-01-04 01:15:00,75.0,1.0,2.0,1.0,0.0,0.0,1.0,17.0
Wheel Shaft,missing,20.0,Case201,deviant,Turning & Milling Q.C.,ID4493,D,Quality Check 1,13.0,0.0,75.0,2012-01-04 01:15:00,75.0,1.0,2.0,1.0,0.0,0.0,2.0,17.0
Fastener,missing,313.0,Case237,deviant,Turning & Milling Q.C.,ID4618,D,Quality Check 1,131.0,0.0,75.0,2012-01-04 01:15:00,75.0,1.0,2.0,1.0,735.0,1440.0,3.0,17.0
Ballnut,missing,24.0,Case233,deviant,other,ID4932,D,Machine 9 - Turning & Milling,9.0,0.0,270.0,2012-01-04 04:34:00,274.0,1.0,2.0,4.0,293.0,754.0,4.0,16.0
Electrical Contact,missing,320.0,Case238,deviant,Turning & Milling - Machine 4,ID4794,D,Machine 4 - Turning & Milling,65.0,0.0,618.0,2012-01-04 06:32:00,392.0,1.0,2.0,6.0,865.0,2852.0,9.0,16.0
Spur Gear,missing,85.0,Case210,regular,Turning & Milling - Machine 6,ID4794,D,Machine 6 - Turning & Milling,20.0,0.0,567.0,2012-01-04 06:33:00,393.0,1.0,2.0,6.0,568.0,873.0,3.0,16.0
Electrical Contact,missing,320.0,Case238,deviant,Turning & Milling Q.C.,ID4618,D,Quality Check 1,0.0,0.0,39.0,2012-01-04 07:29:00,449.0,1.0,2.0,7.0,57.0,2909.0,10.0,16.0
Cable Head,missing,153.0,Case266,deviant,Turning & Milling Q.C.,ID4163,D,Quality Check 1,0.0,0.0,100.0,2012-01-04 08:40:00,520.0,1.0,2.0,8.0,0.0,0.0,1.0,17.0
Compound Dies,missing,18.0,Case263,regular,Turning & Milling - Machine 8,ID4219,S,Machine 8 - Turning & Milling,1.0,0.0,139.0,2012-01-04 09:18:00,558.0,1.0,2.0,9.0,920.0,2778.0,3.0,17.0
Compound Dies,missing,18.0,Case263,regular,Turning & Milling Q.C.,ID4287,D,Quality Check 1,0.0,0.0,60.0,2012-01-04 10:00:00,600.0,1.0,2.0,10.0,42.0,2820.0,4.0,17.0
Cable Head,missing,151.0,Case177,deviant,Lapping - Machine 1,ID0998,D,Machine 1 - Lapping,7.0,0.0,125.0,2012-01-04 10:25:00,625.0,1.0,2.0,10.0,0.0,0.0,1.0,18.0
Ballnut,missing,10.0,Case228,deviant,Turning & Milling - Machine 8,ID0997,D,Machine 8 - Turning & Milling,10.0,0.0,76.0,2012-01-04 10:51:00,651.0,1.0,2.0,10.0,0.0,0.0,1.0,19.0
Compound Dies,missing,18.0,Case263,regular,Turning & Milling - Machine 8,ID4219,B,Machine 8 - Turning & Milling,0.0,0.0,99.0,2012-01-04 11:00:00,660.0,1.0,2.0,11.0,60.0,2880.0,5.0,19.0
Spur Gear,missing,3.0,Case274,regular,Round Grinding - Q.C.,ID4287,D,Quality Check 1,3.0,0.0,62.0,2012-01-04 11:02:00,662.0,1.0,2.0,11.0,1142.0,2539.0,9.0,19.0
Spur Gear,missing,225.0,Case254,regular,Flat Grinding - Machine 11,ID4882,D,Machine 11 - Grinding,75.0,0.0,86.0,2012-01-04 11:54:00,714.0,1.0,2.0,11.0,1051.0,2859.0,4.0,19.0
Spur Gear,missing,3.0,Case274,regular,Laser Marking - Machine 7,ID0998,D,Machine 7- Laser Marking,3.0,0.0,75.0,2012-01-04 12:20:00,740.0,1.0,2.0,12.0,78.0,2617.0,10.0,19.0
Spur Gear,missing,3.0,Case274,regular,Final Inspection Q.C.,ID4287,D,Quality Check 1,0.0,0.0,97.0,2012-01-04 12:49:00,769.0,1.0,2.0,12.0,29.0,2646.0,11.0,19.0
Spur Gear,missing,3.0,Case274,regular,Final Inspection Q.C.,ID4287,D,Quality Check 1,3.0,0.0,10.0,2012-01-04 13:30:00,810.0,1.0,2.0,13.0,41.0,2687.0,12.0,19.0
Spur Gear,missing,85.0,Case210,regular,Turning & Milling - Machine 6,ID4529,D,Machine 6 - Turning & Milling,15.0,0.0,450.0,2012-01-04 15:30:00,930.0,1.0,2.0,15.0,537.0,1410.0,4.0,19.0
Spur Gear,missing,225.0,Case254,regular,Final Inspection Q.C.,ID4618,D,Quality Check 1,0.0,0.0,31.0,2012-01-04 15:57:00,957.0,1.0,2.0,15.0,243.0,3102.0,5.0,20.0
Cable Head,missing,13.0,Case208,deviant,Turning & Milling - Machine 10,ID4641,S,Machine 10 - Grinding,0.0,0.0,442.0,2012-01-04 15:57:00,957.0,1.0,2.0,15.0,0.0,0.0,1.0,20.0
O-Ring,missing,9.0,Case265,regular,Turning - Machine 8,ID0997,S,Machine 15 - Turning,0.0,0.0,307.0,2012-01-04 15:59:00,959.0,1.0,2.0,15.0,0.0,0.0,1.0,21.0
Cable Head,missing,153.0,Case266,deviant,Turning & Milling - Machine 5,ID4429,S,Machine 5 - Turning & Milling,0.0,0.0,114.0,2012-01-04 16:09:00,969.0,1.0,2.0,16.0,449.0,449.0,2.0,21.0
Compound Dies,missing,18.0,Case263,regular,Turning & Milling - Machine 8,ID4219,D,Machine 8 - Turning & Milling,11.0,0.0,321.0,2012-01-04 16:21:00,981.0,1.0,2.0,16.0,321.0,3201.0,6.0,21.0
Spur Gear,missing,20.0,Case236,regular,Round Grinding - Manual,ID4528,D,Machine 27 - Grinding,4.0,0.0,44.0,2012-01-04 16:58:00,1018.0,1.0,2.0,16.0,1038.0,2608.0,6.0,21.0
Housing,missing,46.0,Case153,regular,Final Inspection Q.C.,ID4287,D,Quality Check 1,0.0,0.0,37.0,2012-01-04 17:47:00,1067.0,1.0,2.0,17.0,2702.0,2757.0,3.0,21.0
Barrel,missing,32.0,Case250,regular,Milling - Machine 16,ID4326,S,Machine 16 - Milling,0.0,0.0,240.0,2012-01-04 18:00:00,1080.0,1.0,2.0,18.0,1560.0,1560.0,2.0,21.0
Electrical Contact,missing,320.0,Case238,deviant,Turning & Milling - Machine 4,ID4167,D,Machine 4 - Turning & Milling,40.0,0.0,650.0,2012-01-04 18:03:00,1083.0,1.0,2.0,18.0,634.0,3543.0,11.0,21.0
Cable Head,missing,17.0,Case185,regular,Grinding Rework - Machine 27,ID4528,D,Machine 27 - Grinding,0.0,0.0,92.0,2012-01-04 18:31:00,1111.0,1.0,2.0,18.0,2476.0,2476.0,2.0,21.0
Electrical Contact,missing,320.0,Case238,deviant,Turning & Milling - Machine 4,ID4794,D,Machine 4 - Turning & Milling,0.0,0.0,11.0,2012-01-04 20:18:00,1218.0,1.0,2.0,20.0,135.0,3678.0,12.0,21.0
Cable Head,missing,13.0,Case208,deviant,Turning & Milling - Machine 10,ID3846,S,Machine 10 - Grinding,0.0,0.0,396.0,2012-01-04 22:34:00,1354.0,1.0,2.0,22.0,397.0,397.0,2.0,21.0
Cable Head,missing,17.0,Case185,regular,Packing,ID4820,D,Packing,5.0,0.0,60.0,2012-01-05 01:00:00,60.0,1.0,3.0,1.0,0.0,2865.0,3.0,21.0
Cable Head,missing,17.0,Case185,regular,Packing,ID4820,D,Packing,0.0,0.0,60.0,2012-01-05 01:00:00,60.0,1.0,3.0,1.0,389.0,2865.0,4.0,21.0
Gauge,missing,10.0,Case227,regular,Packing,ID4820,D,Packing,10.0,0.0,60.0,2012-01-05 01:00:00,60.0,1.0,3.0,1.0,0.0,0.0,1.0,21.0
Spur Gear,missing,3.0,Case274,regular,Packing,ID4820,D,Packing,3.0,0.0,60.0,2012-01-05 01:00:00,60.0,1.0,3.0,1.0,690.0,3377.0,13.0,21.0
Spur Gear,missing,85.0,Case210,regular,Turning & Milling - Machine 6,ID4794,D,Machine 6 - Turning & Milling,18.0,0.0,619.0,2012-01-05 06:27:00,387.0,1.0,3.0,6.0,897.0,2307.0,5.0,21.0
Cable Head,missing,153.0,Case266,deviant,Turning & Milling - Machine 5,ID4932,D,Machine 5 - Turning & Milling,117.0,0.0,651.0,2012-01-05 06:45:00,405.0,1.0,3.0,6.0,876.0,1325.0,3.0,21.0
Electrical Contact,missing,320.0,Case238,deviant,Turning & Milling - Machine 4,ID4932,D,Machine 4 - Turning & Milling,67.0,0.0,627.0,2012-01-05 06:46:00,406.0,1.0,3.0,6.0,628.0,4306.0,13.0,21.0
Compound Dies,missing,18.0,Case263,regular,Turning & Milling - Machine 8,ID4219,D,Machine 8 - Turning & Milling,1.0,0.0,18.0,2012-01-05 07:06:00,426.0,1.0,3.0,7.0,885.0,4086.0,7.0,21.0
Spur Gear,missing,85.0,Case210,regular,Turning & Milling Q.C.,ID4618,D,Quality Check 1,0.0,0.0,41.0,2012-01-05 07:35:00,455.0,1.0,3.0,7.0,68.0,2375.0,6.0,21.0
Gauge,missing,10.0,Case227,regular,Final Inspection Q.C.,ID4287,D,Quality Check 1,10.0,0.0,56.0,2012-01-05 07:56:00,476.0,1.0,3.0,7.0,416.0,416.0,2.0,20.0
O-Ring,missing,9.0,Case265,regular,Turning - Machine 8,ID0997,D,Machine 15 - Turning,9.0,0.0,52.0,2012-01-05 08:26:00,506.0,1.0,3.0,8.0,987.0,987.0,2.0,20.0
Housing,missing,46.0,Case153,regular,Final Inspection Q.C.,ID4287,D,Quality Check 1,4.0,0.0,35.0,2012-01-05 08:40:00,520.0,1.0,3.0,8.0,893.0,3650.0,4.0,20.0
Electrical Contact,missing,320.0,Case238,deviant,Turning & Milling Q.C.,ID4618,D,Quality Check 1,0.0,0.0,83.0,2012-01-05 09:23:00,563.0,1.0,3.0,9.0,157.0,4463.0,14.0,20.0
Wheel Shaft,missing,20.0,Case201,deviant,Turning - Machine 8,ID4219,D,Machine 15 - Turning,0.0,0.0,1.0,2012-01-05 10:11:00,611.0,1.0,3.0,10.0,1976.0,1976.0,3.0,20.0
Cable Head,missing,17.0,Case185,regular,Final Inspection Q.C.,ID4287,D,Quality Check 1,5.0,0.0,43.0,2012-01-05 10:13:00,613.0,1.0,3.0,10.0,553.0,3418.0,5.0,20.0
Compound Dies,missing,18.0,Case263,regular,Turning & Milling - Machine 8,ID0997,D,Machine 8 - Turning & Milling,5.0,0.0,135.0,2012-01-05 10:45:00,645.0,1.0,3.0,10.0,219.0,4305.0,8.0,20.0
Compound Dies,missing,18.0,Case263,regular,Turning & Milling Q.C.,ID4287,D,Quality Check 1,18.0,0.0,60.0,2012-01-05 11:30:00,690.0,1.0,3.0,11.0,45.0,4350.0,9.0,20.0
Electrical Contact,missing,320.0,Case238,deviant,Turning & Milling - Machine 4,ID4167,D,Machine 4 - Turning & Milling,54.0,0.0,643.0,2012-01-05 11:32:00,692.0,1.0,3.0,11.0,129.0,4592.0,15.0,19.0
Compound Dies,missing,18.0,Case263,regular,Flat Grinding - Machine 11,ID0998,D,Machine 11 - Grinding,18.0,0.0,41.0,2012-01-05 12:27:00,747.0,1.0,3.0,12.0,57.0,4407.0,10.0,19.0
Barrel,missing,32.0,Case250,regular,Final Inspection Q.C.,ID4163,D,Quality Check 1,0.0,0.0,350.0,2012-01-05 12:50:00,770.0,1.0,3.0,12.0,1130.0,2690.0,3.0,19.0
Wheel Shaft,missing,20.0,Case201,deviant,Turning - Machine 8,ID4219,S,Machine 15 - Turning,1.0,0.0,220.0,2012-01-05 13:52:00,832.0,1.0,3.0,13.0,221.0,2197.0,4.0,19.0
Cable Head,missing,153.0,Case266,deviant,Turning & Milling - Machine 5,ID4429,D,Machine 5 - Turning & Milling,36.0,0.0,431.0,2012-01-05 14:17:00,857.0,1.0,3.0,14.0,452.0,1777.0,4.0,19.0
Cable Head,missing,17.0,Case185,regular,Turning & Milling Q.C.,ID4287,D,Quality Check 1,0.0,0.0,190.0,2012-01-05 14:40:00,880.0,1.0,3.0,14.0,267.0,3685.0,6.0,19.0
other,missing,40.0,Case255,regular,Turning Q.C.,ID4618,D,Quality Check 1,40.0,0.0,75.0,2012-01-05 15:13:00,913.0,1.0,3.0,15.0,4153.0,4153.0,2.0,19.0
Ballnut,missing,108.0,Case215,regular,Turning & Milling - Machine 8,ID0997,S,Machine 8 - Turning & Milling,0.0,0.0,241.0,2012-01-05 15:21:00,921.0,1.0,3.0,15.0,0.0,0.0,1.0,20.0
Spur Gear,missing,20.0,Case236,regular,Final Inspection Q.C.,ID4618,D,Quality Check 1,20.0,0.0,336.0,2012-01-05 15:29:00,929.0,1.0,3.0,15.0,1351.0,3959.0,7.0,20.0
Cable Head,missing,185.0,Case225,deviant,Grinding Rework - Machine 27,ID4872,D,Machine 27 - Grinding,0.0,0.0,535.0,2012-01-05 15:52:00,952.0,1.0,3.0,15.0,0.0,0.0,1.0,21.0
Barrel,missing,32.0,Case250,regular,Milling - Machine 16,ID4326,D,Machine 16 - Milling,8.0,0.0,540.0,2012-01-05 16:00:00,960.0,1.0,3.0,16.0,190.0,2880.0,4.0,21.0
