Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability;ACV Subset Stability;ACV Weight Stability;ACV Adjusted Weight Stability
Case9_8;0;8;0;1.0;1.0;0.9615073113461914;0.9615073113461914;;1.0;1.0;;1.0;1.0
Case210_9;0;9;0;1.0;1.0;0.9998861650776236;0.9998861650776236;;1.0;1.0;;1.0;1.0
Case211_9;0;9;0;1.0;1.0;0.9979079069479014;0.9979079069479014;;1.0;1.0;;1.0;1.0
Case249_9;1;9;0;1.0;1.0;0.999916959732832;0.999916959732832;;1.0;1.0;;1.0;1.0
Case250_9;0;9;0;1.0;1.0;0.9692701473620036;0.9692701473620036;;1.0;1.0;;1.0;1.0
Case274_9;0;9;0;1.0;1.0;0.9997644199705178;0.9997644199705178;;1.0;1.0;;1.0;1.0
Case37_9;1;9;1;1.0;1.0;0.9998518888343058;0.9998518888343058;;1.0;1.0;;1.0;1.0
Case6_9;1;9;1;1.0;1.0;0.999861251209628;0.999861251209628;;1.0;1.0;;1.0;1.0
Case73_9;1;9;1;1.0;1.0;0.9997427277177359;0.9997427277177359;;1.0;1.0;;1.0;1.0
Case127_10;1;10;1;1.0;1.0;0.9998445734620988;0.9998445734620988;;1.0;1.0;;1.0;1.0
Case251_10;0;10;0;1.0;1.0;0.9997953419794156;0.9997953419794156;;1.0;1.0;;1.0;1.0
Case274_10;0;10;0;1.0;1.0;0.9997742868302903;0.9997742868302903;;1.0;1.0;;1.0;1.0
Case32_10;1;10;1;1.0;1.0;0.9998593238994692;0.9998593238994692;;1.0;1.0;;1.0;1.0
Case38_10;1;10;1;1.0;1.0;0.9998410839627216;0.9998410839627216;;1.0;1.0;;1.0;1.0
Case44_10;1;10;1;1.0;1.0;0.9997874786160996;0.9997874786160996;;1.0;1.0;;1.0;1.0
Case67_10;0;10;0;1.0;1.0;0.9998553801334652;0.9998553801334652;;1.0;1.0;;1.0;1.0
Case9_10;0;10;0;1.0;1.0;0.9997267781869692;0.9997267781869692;;1.0;1.0;;1.0;1.0
Case207_11;1;11;1;1.0;1.0;0.9998595895848404;0.9998595895848404;;1.0;1.0;;1.0;1.0
Case209_11;0;11;0;1.0;1.0;0.9998378491997943;0.9998378491997943;;1.0;1.0;;1.0;1.0
Case263_11;0;11;0;1.0;1.0;0.9998115642449372;0.9998115642449372;;1.0;1.0;;1.0;1.0
Case277_11;1;11;1;1.0;1.0;0.9998112878242564;0.9998112878242564;;1.0;1.0;;1.0;1.0
Case27_11;0;11;0;1.0;1.0;0.9998735929354432;0.9998735929354432;;1.0;1.0;;1.0;1.0
Case3_11;0;11;0;1.0;1.0;0.9998495215652154;0.9998495215652154;;1.0;1.0;;1.0;1.0
Case44_11;1;11;1;1.0;1.0;0.9998358416952572;0.9998358416952572;;1.0;1.0;;1.0;1.0
Case95_11;1;11;1;1.0;1.0;0.9998164996178448;0.9998164996178448;;1.0;1.0;;1.0;1.0
Case135_12;1;12;1;1.0;1.0;0.9998417412946996;0.9998417412946996;;1.0;1.0;;1.0;1.0
Case210_12;0;12;0;1.0;1.0;0.999832940551486;0.999832940551486;;1.0;1.0;;1.0;1.0
Case240_12;1;12;1;1.0;1.0;0.9998561501303244;0.9998561501303244;;1.0;1.0;;1.0;1.0
Case263_12;0;12;0;1.0;1.0;0.9997892098053536;0.9997892098053536;;1.0;1.0;;1.0;1.0
Case265_12;0;12;0;1.0;1.0;0.9998335739287162;0.9998335739287162;;1.0;1.0;;1.0;1.0
Case55_12;1;12;1;1.0;1.0;0.9998366575328372;0.9998366575328372;;1.0;1.0;;1.0;1.0
Case61_12;1;12;1;1.0;1.0;0.9998468172266856;0.9998468172266856;;1.0;1.0;;1.0;1.0
Case90_12;0;12;0;1.0;1.0;0.9998077495764184;0.9998077495764184;;1.0;1.0;;1.0;1.0
Case17_13;1;13;1;1.0;1.0;0.9997989945330842;0.9997989945330842;;1.0;1.0;;1.0;1.0
Case19_13;1;13;1;1.0;1.0;0.999891390831072;0.999891390831072;;1.0;1.0;;1.0;1.0
Case21_13;1;13;1;1.0;1.0;0.9998307183981824;0.9998307183981824;;1.0;1.0;;1.0;1.0
Case265_13;0;13;0;1.0;1.0;0.9997297186993;0.9997297186993;;1.0;1.0;;1.0;1.0
Case269_13;0;13;0;1.0;1.0;0.9998858698755873;0.9998858698755873;;1.0;1.0;;1.0;1.0
Case273_13;0;13;0;1.0;1.0;0.9996880476176898;0.9996880476176898;;1.0;1.0;;1.0;1.0
Case89_13;0;13;0;1.0;1.0;0.9997963237163792;0.9997963237163792;;1.0;1.0;;1.0;1.0
Case95_13;1;13;1;1.0;1.0;0.9997941573728374;0.9997941573728374;;1.0;1.0;;1.0;1.0
Case101_14;0;14;0;1.0;1.0;0.999688876046522;0.999688876046522;;1.0;1.0;;1.0;1.0
Case115_14;1;14;1;1.0;1.0;0.99982818217653;0.99982818217653;;1.0;1.0;;1.0;1.0
Case178_14;0;14;0;1.0;1.0;0.9994150788576676;0.9994150788576676;;1.0;1.0;;1.0;1.0
Case17_14;1;14;1;1.0;1.0;0.9997903076040924;0.9997903076040924;;1.0;1.0;;1.0;1.0
Case192_14;0;14;0;1.0;1.0;0.999747018010267;0.999747018010267;;1.0;1.0;;1.0;1.0
Case249_14;1;14;1;1.0;1.0;0.9998423726022304;0.9998423726022304;;1.0;1.0;;1.0;1.0
Case78_14;1;14;1;1.0;1.0;0.9997887926543076;0.9997887926543076;;1.0;1.0;;1.0;1.0
Case90_14;0;14;0;1.0;1.0;0.9997951491561188;0.9997951491561188;;1.0;1.0;;1.0;1.0
